County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Blount County  6,307,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,434.8 
Marengo County  6,60,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,433.5 
Tuscaloosa County  6,643,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,432.7 
Butler County  6,70,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,430.3 
Cullman County  6,440,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.7 
Cleburne County  6,84,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.2 
Coffee County  6,215,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,429.1 
Washington County  6,66,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,428.3 
Fayette County  6,88,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,425.5 
Bullock County  6,17,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,422.0 
Lauderdale County  6,472,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,420.7 
Randolph County  6,108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,414.5 
Shelby County  6,865,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,414.3 
Choctaw County  6,49,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,413.2 
Winston County  6,137,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,411.4 
Chilton County  6,193,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,407.5 
DeKalb County  6,323,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,396.6 
Monroe County  6,72,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,395.7 
Cherokee County  6,144,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,383.4 
Lee County  6,411,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,379.2 
Hale County  6,35,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,365.6 
Coosa County  6,41,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,343.1 
Walker County  6,25,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,608.2 
Lowndes County  6,51,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,570.1 
Tallapoosa County  6,71,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,567.6 
Cleburne County  6,4,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,539.3 
Morgan County  6,70,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,526.9 
Elmore County  6,74,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.2 
Henry County  6,32,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,525.0 
Bullock County  6,43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,521.3 
Autauga County  6,54,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,515.5 
Pickens County  6,49,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,509.9 
Clarke County  6,63,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.7 
Lamar County  6,10,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,504.6 
Choctaw County  6,39,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,497.5 
Bibb County  6,23,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,491.4 
Marion County  6,7,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,486.7 
Lawrence County  6,26,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,484.2 
Chambers County  6,76,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,479.2 
Wilcox County  6,43,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,477.1 
Macon County  6,95,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,476.7 
Dallas County  6,145,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.6 
Marshall County  6,9,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,467.2 
Lauderdale County  6,46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,466.2 
Covington County  6,24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.8 
Sumter County  6,50,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,461.6 
Washington County  6,24,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,458.4 
Dale County  6,46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,454.7 
Tuscaloosa County  6,252,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,453.4 
