placeDcid,placeName,Median_Income_Person
geoId/13249,"Schley County, GA",27105
geoId/13251,"Screven County, GA",22934
geoId/13253,"Seminole County, GA",22922
geoId/13255,"Spalding County, GA",26131
geoId/13257,"Stephens County, GA",23688
geoId/13259,"Stewart County, GA",18984
geoId/13261,"Sumter County, GA",24684
geoId/13263,"Talbot County, GA",23183
geoId/13265,"Taliaferro County, GA",17379
geoId/13267,"Tattnall County, GA",19602
geoId/13269,"Taylor County, GA",21961
geoId/13271,"Telfair County, GA",16287
geoId/13273,"Terrell County, GA",20532
geoId/13275,"Thomas County, GA",27837
geoId/13277,"Tift County, GA",24568
geoId/13279,"Toombs County, GA",24581
geoId/13281,"Towns County, GA",23615
geoId/13283,"Treutlen County, GA",20268
geoId/13285,"Troup County, GA",25420
geoId/13287,"Turner County, GA",22564
geoId/13289,"Twiggs County, GA",25599
geoId/13291,"Union County, GA",24408
geoId/13293,"Upson County, GA",23573
geoId/13295,"Walker County, GA",24709
geoId/13297,"Walton County, GA",31588
geoId/13299,"Ware County, GA",24021
geoId/13301,"Warren County, GA",21372
geoId/13303,"Washington County, GA",22540
geoId/13305,"Wayne County, GA",22448
geoId/13307,"Webster County, GA",22015
geoId/13309,"Wheeler County, GA",18887
geoId/13311,"White County, GA",27236
geoId/13313,"Whitfield County, GA",27072
geoId/13315,"Wilcox County, GA",21314
geoId/13317,"Wilkes County, GA",21030
geoId/13319,"Wilkinson County, GA",22750
geoId/13321,"Worth County, GA",26506
geoId/15001,"Hawaii County, HI",31439
geoId/15003,"Honolulu County, HI",38373
geoId/15005,"Kalawao County, HI",38923
geoId/15007,"Kauai County, HI",34576
geoId/15009,"Maui County, HI",36651
geoId/16001,"Ada County, ID",35096
geoId/16003,"Adams County, ID",27614
geoId/16005,"Bannock County, ID",25342
geoId/16007,"Bear Lake County, ID",27081
geoId/16009,"Benewah County, ID",25775
geoId/16011,"Bingham County, ID",26352
geoId/16013,"Blaine County, ID",32365
geoId/16015,"Boise County, ID",28117
geoId/16017,"Bonner County, ID",25439
geoId/16019,"Bonneville County, ID",27182
geoId/16021,"Boundary County, ID",23602
geoId/16023,"Butte County, ID",26148
geoId/16025,"Camas County, ID",29500
geoId/16027,"Canyon County, ID",26526
geoId/16029,"Caribou County, ID",24720
geoId/16031,"Cassia County, ID",27022
geoId/16033,"Clark County, ID",26868
geoId/16035,"Clearwater County, ID",25919
geoId/16037,"Custer County, ID",22873
geoId/16039,"Elmore County, ID",27423
geoId/16041,"Franklin County, ID",24339
geoId/16043,"Fremont County, ID",26059
geoId/16045,"Gem County, ID",25152
geoId/16047,"Gooding County, ID",25397
geoId/16049,"Idaho County, ID",23863
geoId/16051,"Jefferson County, ID",27180
geoId/16053,"Jerome County, ID",26171
geoId/16055,"Kootenai County, ID",30017
geoId/16057,"Latah County, ID",24160
geoId/16059,"Lemhi County, ID",21553
geoId/16061,"Lewis County, ID",24810
geoId/16063,"Lincoln County, ID",27721
geoId/16065,"Madison County, ID",15319
geoId/16067,"Minidoka County, ID",26236
geoId/16069,"Nez Perce County, ID",29465
geoId/16071,"Oneida County, ID",28415
geoId/16073,"Owyhee County, ID",24497
geoId/16075,"Payette County, ID",30358
geoId/16077,"Power County, ID",29766
geoId/16079,"Shoshone County, ID",22354
geoId/16081,"Teton County, ID",36282
geoId/16083,"Twin Falls County, ID",26803
geoId/16085,"Valley County, ID",25624
geoId/16087,"Washington County, ID",23438
geoId/17001,"Adams County, IL",31638
geoId/17003,"Alexander County, IL",21691
geoId/17005,"Bond County, IL",28018
geoId/17007,"Boone County, IL",31419
geoId/17009,"Brown County, IL",31299
geoId/17011,"Bureau County, IL",29335
geoId/17013,"Calhoun County, IL",29680
geoId/17015,"Carroll County, IL",30087
geoId/17017,"Cass County, IL",31048
geoId/17019,"Champaign County, IL",29941
geoId/17021,"Christian County, IL",31180
geoId/17023,"Clark County, IL",33937
geoId/17025,"Clay County, IL",28349
geoId/17027,"Clinton County, IL",35410
geoId/17029,"Coles County, IL",25077
geoId/17031,"Cook County, IL",35336
geoId/17033,"Crawford County, IL",27027
geoId/17035,"Cumberland County, IL",30249
geoId/17037,"DeKalb County, IL",28594
