average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
57,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,204.7,"Dale County, AL",61.0,49365,49362,49342,49143,49172,45294,40523,42572,45309,45120
50,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,146.4,"Dale County, AL",61.0,49365,49362,49342,49143,49172,45294,40523,42572,45309,45120
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.7,"Hale County, AL",55.0,15015,14828,14801,14749,14651,35470,35381,34905,34724,40745
15,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,135.4,"Hale County, AL",55.0,15015,14828,14801,14749,14651,35470,35381,34905,34724,40745
116,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,203.5,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,43008,44124,46646,48707,48188
94,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,126.8,"Lauderdale County, AL",58.0,92459,92425,92564,92604,92729,43008,44124,46646,48707,48188
82,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,198.4,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,37305,37128,39906,39491,44277
66,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.6,"DeKalb County, AL",50.0,71087,71104,71437,71407,71513,37305,37128,39906,39491,44277
38,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,197.5,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,39144,41456,44842,42132,45982
31,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,145.0,"Cherokee County, AL",56.0,25732,25768,25805,26014,26196,39144,41456,44842,42132,45982
19,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,196.8,"Choctaw County, AL",58.0,13231,13045,12925,12833,12589,35089,32691,36711,39907,39808
12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,110.8,"Choctaw County, AL",58.0,13231,13045,12925,12833,12589,35089,32691,36711,39907,39808
175,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,194.0,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355,47868,47483,51644,52557,52307
153,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,130.1,"Tuscaloosa County, AL",49.75,204767,206464,207618,208319,209355,47868,47483,51644,52557,52307
18,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.3,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,29981,29758,30796,32613,41539
17,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,165.4,"Conecuh County, AL",51.0,12678,12500,12431,12292,12067,29981,29758,30796,32613,41539
55,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,193.0,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,46858,48632,51998,55122,57299
51,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,142.6,"Coffee County, AL",60.0,50963,51202,51853,51950,52342,46858,48632,51998,55122,57299
56,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.9,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,56580,54487,58343,59338,58233
49,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,137.5,"Autauga County, AL",52.0,54864,55243,55390,55533,55869,56580,54487,58343,59338,58233
16,Alabama,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,192.1,"Coosa County, AL",52.0,10934,10819,10724,10643,10663,36078,36441,42442,42423,42024
12,Alabama,All Cancer Sites,All Races (includes Hispanic),Females,All Ages,136.2,"Coosa County, AL",52.0,10934,10819,10724,10643,10663,36078,36441,42442,42423,42024
