average_annual_count,primary_state_name,cancer,race_ethnicity,sex,age,age_adjusted_rate,county_state,index_of_medical_underservice_score,popestimate2015,popestimate2016,popestimate2017,popestimate2018,popestimate2019,abbrv,median_household_income_2015,median_household_income_2016,median_household_income_2017,median_household_income_2018,median_household_income_2019
4,Alabama,All Cancer Sites,  White Hispanic,All Sexes,All Ages,270.9 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
221,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,471.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
46,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,454.7 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
5,Alabama,All Cancer Sites,Hispanic (any race),All Sexes,All Ages,304.4 ,"Dale County, AL",61.0,49365,49362,49342,49143,49172,AL,45294,40523,42572,45309,45120
105,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,462.0 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
104,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,463.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
23,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,491.4 ,"Bibb County, AL",47.0,22566,22586,22550,22367,22394,AL,40767,43079,45795,46064,47918
156,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,458.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,AL,36289,36976,38561,37823,43089
156,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,464.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,AL,36289,36976,38561,37823,43089
13,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,405.0 ,"Geneva County, AL",57.0,26631,26494,26385,26306,26271,AL,36289,36976,38561,37823,43089
109,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,457.3 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
108,Alabama,All Cancer Sites,  White Non-Hispanic,All Sexes,All Ages,459.7 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
47,Alabama,All Cancer Sites,Black (includes Hispanic),All Sexes,All Ages,428.8 ,"Pike County, AL",60.0,33496,33464,33349,33242,33114,AL,34442,35172,40680,37259,41271
209,Alabama,All Cancer Sites,White (includes Hispanic),All Sexes,All Ages,456.7 ,"Tallapoosa County, AL",53.0,40605,40586,40613,40535,40367,AL,39051,40169,44469,42205,47100
