Age-Adjusted Death Rate,Age-Adjusted Incidence Rate,County,Primary_State_Name
194.6,462.4,Wayne County, Iowa
194.6,* ,Edwards County, Kansas
194.6,465.3,Scotland County, North Carolina
194.6,452.1,Carter County, Oklahoma
194.5,539.3,Clark County, Kentucky
194.5,439.2,Beckham County, Oklahoma
194.4,438.6,Mitchell County, Texas
194.3,489.7,Halifax County, North Carolina
194.3,285.3,Smyth County, Virginia
194.2,506.3,Grant County, Indiana
194.2,500.9,Ogemaw County, Michigan
194.1,526.6,Kalkaska County, Michigan
194.1,526.2,Fulton County, Kentucky
194,554.2,Hancock County, Tennessee
194,517.9,Crittenden County, Kentucky
193.8,492.7,Blackford County, Indiana
193.8,468.2,Stone County, Mississippi
193.8,461.3,Calhoun County, Florida
193.7,325.3,Jim Hogg County, Texas
193.7,442.9,Fayette County, Alabama
193.7,486.4,Suwannee County, Florida
193.7,423.9,Morgan County, West Virginia
193.6,* ,Doniphan County, Kansas
193.5,444.1,Washington County, North Carolina
193.5,477.9,Chattooga County, Georgia
193.4,446.5,Pottawatomie County, Oklahoma
193.3,555.6,Cleveland County, Arkansas
193.3,* ,Cowley County, Kansas
193.2,501.1,Custer County, Montana
193.2,471.4,Henry County, Indiana
193.2,471.4,Crockett County, Tennessee
193.2,387,Dade County, Georgia
193.1,442.9,Escambia County, Alabama
193.1,454,DeWitt County, Texas
193.1,424.6,Montgomery County, Georgia
193,462,Lawrence County, Tennessee
193,512.3,Ross County, Ohio
193,451.2,Morgan County, Tennessee
192.9,430.7,Fulton County, Arkansas
192.8,418.8,Custer County, Oklahoma
192.8,459.1,Avoyelles Parish, Louisiana
192.8,517.8,Union County, South Carolina
192.8,456.8,Yuba County, California
192.7,505.5,Acadia Parish, Louisiana
192.7,482.1,Accomack County, Virginia
192.7,487.6,Scioto County, Ohio
192.7,502.9,Lewis County, Tennessee
192.7,455.6,Laurens County, Georgia
192.6,389.2,Kimball County, Nebraska
192.5,440.8,Columbia County, Washington
192.4,* ,Ellsworth County, Kansas
192.4,537.3,McDuffie County, Georgia
192.4,494.1,White County, Tennessee
192.4,414.7,Texas County, Oklahoma
192.4,438.5,Adair County, Oklahoma
192.4,499.7,Pike County, Georgia
192.3,426.1,Miller County, Arkansas
192.3,479.7,Scott County, Mississippi
192.2,499.4,Breckinridge County, Kentucky
192.2,296.9,Corson County, South Dakota
192.2,505.5,Jefferson Davis County, Mississippi
192.2,464.3,Phillips County, Arkansas
192.2,567.9,Christian County, Illinois
192.1,502.7,Bradley County, Arkansas
192.1,504.7,Washington County, Maine
192.1,459.9,Attala County, Mississippi
192.1,453.6,Laclede County, Missouri
191.9,465.7,Macon County, Missouri
191.8,496.4,Guernsey County, Ohio
191.8,464.1,Wayne County, Tennessee
191.7,378.2,Hyde County, North Carolina
191.6,531.4,Hamilton County, New York
