County_State,Abbrv,Median Household Income 2015,Median Household Income 2016,Median Household Income 2017,Median Household Income 2018,Median Household Income 2019
"Tippah County, MS",MS,38297,38571,39695,39833,44696
"Tishomingo County, MS",MS,37740,37909,35031,41455,43341
"Tunica County, MS",MS,30970,30241,31492,33143,33993
"Union County, MS",MS,42120,44880,46979,46600,49320
"Walthall County, MS",MS,31202,32016,32078,33566,35465
"Warren County, MS",MS,40465,41162,44227,46049,46606
"Washington County, MS",MS,27539,30187,30865,33991,31018
"Wayne County, MS",MS,35989,35545,36339,37401,39036
"Webster County, MS",MS,40214,39192,39479,43349,46110
"Wilkinson County, MS",MS,28535,26390,27962,29900,32612
"Winston County, MS",MS,35216,36091,36305,39498,37596
"Yalobusha County, MS",MS,36062,35312,36834,39551,40515
"Yazoo County, MS",MS,34218,31773,33051,33111,34817
"Adair County, MO",MO,40222,36819,38784,40395,43044
"Andrew County, MO",MO,58675,53356,60759,57459,62823
"Atchison County, MO",MO,46339,45966,49469,49122,50516
"Audrain County, MO",MO,42480,42463,44212,44340,45609
"Barry County, MO",MO,37467,38060,40765,42457,47155
"Barton County, MO",MO,39633,40349,41796,41583,46397
"Bates County, MO",MO,45887,42133,45392,45955,48442
"Benton County, MO",MO,34156,36413,39588,40025,42144
"Bollinger County, MO",MO,41623,40935,43611,44233,45868
"Boone County, MO",MO,50865,52824,52179,55136,58029
"Buchanan County, MO",MO,48294,47517,46516,52506,49216
"Butler County, MO",MO,35509,35494,39642,38067,41327
"Caldwell County, MO",MO,44470,44952,44252,47591,52872
"Callaway County, MO",MO,50514,53186,53317,53970,58720
"Camden County, MO",MO,49393,47373,51489,48580,51460
"Cape Girardeau County, MO",MO,49615,50227,51955,51962,57618
"Carroll County, MO",MO,43638,44581,45404,47049,50628
"Carter County, MO",MO,32269,33283,33793,34134,36383
"Cass County, MO",MO,62996,64422,65839,71374,73882
"Cedar County, MO",MO,37654,35998,37958,37288,38427
"Chariton County, MO",MO,46230,44229,44587,48421,50589
"Christian County, MO",MO,54044,54273,58931,58057,63400
"Clark County, MO",MO,43225,43975,43130,46832,46001
"Clay County, MO",MO,65106,65973,67666,68943,70705
"Clinton County, MO",MO,59655,58371,57807,58641,64541
"Cole County, MO",MO,56393,55767,55315,62817,61847
"Cooper County, MO",MO,46632,47187,48851,52513,56957
"Crawford County, MO",MO,38491,41139,39306,42774,48315
"Dade County, MO",MO,38516,37884,39127,41381,42421
"Dallas County, MO",MO,37780,36178,38685,38765,42389
"Daviess County, MO",MO,43135,43519,45342,51255,48197
"DeKalb County, MO",MO,44429,46835,48060,48920,53997
"Dent County, MO",MO,36808,38722,35445,39392,45540
"Douglas County, MO",MO,32979,33121,34265,36762,39773
"Dunklin County, MO",MO,31920,33237,33721,37331,38880
"Franklin County, MO",MO,50438,55496,55937,58738,61428
"Gasconade County, MO",MO,47717,48593,48711,52282,53751
"Gentry County, MO",MO,43811,42402,43182,43731,53663
"Greene County, MO",MO,43885,42802,45608,44799,45313
"Grundy County, MO",MO,38763,40303,40305,40315,44323
"Harrison County, MO",MO,38005,39021,40139,40639,43016
"Henry County, MO",MO,42455,42607,43615,44978,46995
"Hickory County, MO",MO,31320,33649,35170,35025,32934
"Holt County, MO",MO,42845,42240,46560,47191,47429
"Howard County, MO",MO,44634,48518,45858,45767,49923
"Howell County, MO",MO,36604,36323,35483,36762,40177
"Iron County, MO",MO,33415,34133,35682,37755,39292
"Jackson County, MO",MO,48364,50822,52585,55864,57907
"Jasper County, MO",MO,43724,44699,46611,46596,46021
"Jefferson County, MO",MO,58747,61508,62334,65150,68779
"Johnson County, MO",MO,44109,50257,54417,52151,58396
"Knox County, MO",MO,40356,36770,36866,39309,41755
"Laclede County, MO",MO,40741,40885,45267,44562,43969
"Lafayette County, MO",MO,50325,52065,51745,53389,62264
"Lawrence County, MO",MO,41619,41934,42856,45074,45746
"Lewis County, MO",MO,45592,43813,46517,48179,40782
"Lincoln County, MO",MO,54584,56833,67986,62238,69178
"Linn County, MO",MO,39618,41176,42331,44992,45774
"Livingston County, MO",MO,40808,41759,45448,48749,49065
"McDonald County, MO",MO,37939,37594,38468,40204,39615
"Macon County, MO",MO,41080,40603,40037,45440,45717
"Madison County, MO",MO,35745,36909,38206,40191,43919
"Maries County, MO",MO,43970,43192,44366,46371,49712
"Marion County, MO",MO,41297,45187,45064,49393,50803
"Mercer County, MO",MO,43244,42239,42048,46014,44343
"Miller County, MO",MO,40077,41274,42042,47225,49252
"Mississippi County, MO",MO,33283,32388,34185,34735,36802
"Moniteau County, MO",MO,50525,50241,49452,57047,57321
"Monroe County, MO",MO,44048,41630,42299,46216,48399
"Montgomery County, MO",MO,41470,42701,47044,48951,50282
"Morgan County, MO",MO,39219,38412,41908,45276,44473
"New Madrid County, MO",MO,36386,33037,38542,38093,42115
"Newton County, MO",MO,46125,46170,49161,49220,53251
"Nodaway County, MO",MO,44119,44923,44273,46698,47419
"Oregon County, MO",MO,33573,30126,31714,32720,35356
"Osage County, MO",MO,55962,55781,57694,58855,60728
"Ozark County, MO",MO,31838,32042,33284,34367,36019
"Pemiscot County, MO",MO,29621,33293,32224,31831,34280
"Perry County, MO",MO,47226,51922,52132,53871,57032
"Pettis County, MO",MO,42137,42089,44867,45254,48516
"Phelps County, MO",MO,40676,40738,41330,43079,46573
"Pike County, MO",MO,43007,43617,44040,43591,49089
"Platte County, MO",MO,72548,77933,75651,82567,84456
"Polk County, MO",MO,41326,44357,44214,45336,44837
"Pulaski County, MO",MO,46756,50870,53168,52532,55620
"Putnam County, MO",MO,37286,40150,38024,40866,42434
"Ralls County, MO",MO,51015,51564,53965,57549,63419
"Randolph County, MO",MO,39976,43386,47327,44975,48043
"Ray County, MO",MO,54361,57589,61592,58693,61678
"Reynolds County, MO",MO,34076,33487,34424,36592,37415
"Ripley County, MO",MO,34069,30796,32331,32802,35788
"St. Charles County, MO",MO,74009,80696,81827,82048,89236
"St. Clair County, MO",MO,35128,35683,35230,37013,39319
"Ste. Genevieve County, MO",MO,52806,57701,58797,59043,61662
"St. Francois County, MO",MO,41222,42851,41708,45584,43886
"St. Louis County, MO",MO,61569,62756,64926,66992,70161
"Saline County, MO",MO,41958,43095,43235,43776,47324
"Schuyler County, MO",MO,37851,38134,32860,39463,43183
"Scotland County, MO",MO,41324,39399,40900,42053,46871
"Scott County, MO",MO,40285,41738,42581,44261,44924
"Shannon County, MO",MO,28171,29499,29152,32715,36477
"Shelby County, MO",MO,41696,40679,42444,44564,45939
"Stoddard County, MO",MO,38773,37694,41824,40808,42363
"Stone County, MO",MO,42186,43092,44384,46026,50262
"Sullivan County, MO",MO,41405,40770,40517,41978,43421
"Taney County, MO",MO,39320,38268,43110,40887,49314
"Texas County, MO",MO,34935,33879,33457,34824,38914
"Vernon County, MO",MO,40186,39036,41284,42552,46182
"Warren County, MO",MO,51933,54756,59723,62056,63726
"Washington County, MO",MO,37986,35745,37318,38591,41198
"Wayne County, MO",MO,32566,30793,33390,33703,35397
"Webster County, MO",MO,43418,46989,46039,51141,54844
"Worth County, MO",MO,43443,41338,41017,43119,45023
"Wright County, MO",MO,32634,32722,33191,35293,39384
"St. Louis city, MO",MO,37948,39954,40876,43263,46309
"Beaverhead County, MT",MT,41083,40218,55842,47674,49771
"Big Horn County, MT",MT,41008,39445,41957,40425,43718
"Blaine County, MT",MT,34667,36852,37653,39237,44090
"Broadwater County, MT",MT,51360,50791,54523,52840,60622
"Carbon County, MT",MT,49389,53794,52726,53661,57585
"Carter County, MT",MT,46398,47280,44774,47985,49057
"Cascade County, MT",MT,45597,45569,47882,50054,51732
"Chouteau County, MT",MT,40280,40718,42598,44645,48017
"Custer County, MT",MT,47510,48935,47675,50525,49379
"Daniels County, MT",MT,43918,49333,47032,44659,50001
"Dawson County, MT",MT,56648,55312,54210,56167,56677
"Deer Lodge County, MT",MT,37979,38394,44295,45641,41780
"Fallon County, MT",MT,59928,54158,60495,62029,65651
"Fergus County, MT",MT,43823,45520,49892,49147,48703
"Flathead County, MT",MT,48063,50249,57389,54382,61334
"Gallatin County, MT",MT,57358,60439,61446,67569,73731
"Garfield County, MT",MT,45987,43328,43753,44580,43106
"Glacier County, MT",MT,31666,37207,38345,37719,41808
"Golden Valley County, MT",MT,37883,38276,35850,38782,40469
"Granite County, MT",MT,43470,43469,44834,48410,49646
"Hill County, MT",MT,44178,41705,48470,50136,51881
"Jefferson County, MT",MT,62508,62734,66813,68381,70929
"Judith Basin County, MT",MT,45472,44607,43748,50197,49401
"Lake County, MT",MT,39383,40888,42265,44833,49019
"Lewis and Clark County, MT",MT,56755,60370,59819,63860,66075
"Liberty County, MT",MT,40052,38535,41798,42742,41240
"Lincoln County, MT",MT,37281,37793,38257,40602,43669
"McCone County, MT",MT,44387,46001,44001,43650,48551
"Madison County, MT",MT,49872,51252,50248,53031,56579
"Meagher County, MT",MT,41391,39284,43001,44572,43946
"Mineral County, MT",MT,39584,39933,42452,43458,43928
"Missoula County, MT",MT,44998,47086,53141,56207,57279
"Musselshell County, MT",MT,41791,42103,42255,43371,48290
"Park County, MT",MT,45642,45405,49550,61044,51740
"Petroleum County, MT",MT,42919,43230,43669,41009,42081
"Phillips County, MT",MT,38105,42550,44168,44730,47679
"Pondera County, MT",MT,41168,39984,42175,42890,48542
"Powder River County, MT",MT,50491,47996,49446,47378,47843
"Powell County, MT",MT,42755,44863,45418,48966,49387
"Prairie County, MT",MT,42187,43592,43238,42754,46663
"Ravalli County, MT",MT,48468,44851,49997,50055,57209
"Richland County, MT",MT,68196,65277,63343,67242,69095
"Roosevelt County, MT",MT,39147,40129,42379,40179,38409
"Rosebud County, MT",MT,51732,53946,54998,57674,58139
"Sanders County, MT",MT,36564,38486,40582,39861,45193
"Sheridan County, MT",MT,50857,49112,49862,51690,51111
"Silver Bow County, MT",MT,42658,45231,44762,47302,49249
"Stillwater County, MT",MT,60052,59905,63140,66226,68186
"Sweet Grass County, MT",MT,48361,49666,52303,52747,55259
"Teton County, MT",MT,47598,46185,47750,48368,54458
"Toole County, MT",MT,43879,42689,46896,46326,49448
"Treasure County, MT",MT,49679,50770,50432,50774,51754
"Valley County, MT",MT,46698,47028,47676,48390,51869
"Wheatland County, MT",MT,35665,37360,36771,38449,42059
"Wibaux County, MT",MT,49533,47908,48092,49532,51145
"Yellowstone County, MT",MT,57326,57351,58031,59975,61435
"Adams County, NE",NE,48579,48010,53321,55167,55182
"Antelope County, NE",NE,48546,48799,46560,55371,50771
"Arthur County, NE",NE,50753,44511,44109,46862,46417
"Banner County, NE",NE,54115,51049,53040,53865,54706
"Blaine County, NE",NE,44824,48974,44016,44467,45411
"Boone County, NE",NE,54070,52844,55493,51911,58204
"Box Butte County, NE",NE,54652,56537,58728,57952,61522
"Boyd County, NE",NE,42539,41461,43189,42431,46548
"Brown County, NE",NE,46856,44709,46768,46191,48843
"Buffalo County, NE",NE,55813,57036,58800,59193,64759
"Burt County, NE",NE,49792,51054,52879,57548,54554
"Butler County, NE",NE,55542,55285,52033,57208,63310
"Cass County, NE",NE,66519,63707,71166,75177,72915
"Cedar County, NE",NE,56092,53864,61159,64570,60400
"Chase County, NE",NE,55319,51695,57965,54866,57656
"Cherry County, NE",NE,54564,48933,46894,49782,50677
"Cheyenne County, NE",NE,57255,52565,59971,53132,56229
"Clay County, NE",NE,51431,51712,51775,56259,63829
"Colfax County, NE",NE,50744,50901,61176,55787,62472
"Cuming County, NE",NE,56995,56419,55465,59219,59505
"Custer County, NE",NE,51014,47199,50627,49995,51004
"Dakota County, NE",NE,49093,53332,52055,55522,61010
"Dawes County, NE",NE,44135,44496,43627,47487,46377
"Dawson County, NE",NE,47991,51688,46395,56818,56839
"Deuel County, NE",NE,47641,48546,47584,47097,48793
"Dixon County, NE",NE,52152,52436,54941,54635,57324
"Dodge County, NE",NE,48969,51704,53152,51682,60853
"Douglas County, NE",NE,58405,59226,61706,64580,67264
"Dundy County, NE",NE,45745,43459,45680,48574,45446
"Fillmore County, NE",NE,54086,53037,57539,56697,60440
"Franklin County, NE",NE,44911,45456,47002,48778,49659
"Frontier County, NE",NE,50700,55089,49455,43650,55712
"Furnas County, NE",NE,40032,44219,50675,49685,50705
"Gage County, NE",NE,50746,44166,53305,49931,56817
"Garden County, NE",NE,42186,38701,39446,39192,41158
"Garfield County, NE",NE,44643,44016,43478,46245,52707
"Gosper County, NE",NE,56882,55373,54787,59722,64870
"Grant County, NE",NE,56646,55830,52665,56724,60773
"Greeley County, NE",NE,44920,45429,45037,45221,48178
"Hall County, NE",NE,50093,52315,54546,53792,57371
"Hamilton County, NE",NE,65103,63996,68296,60608,68236
"Harlan County, NE",NE,47844,45626,47829,49321,53362
"Hayes County, NE",NE,50516,46401,45136,47047,46399
"Hitchcock County, NE",NE,43054,43502,42567,43880,49451
"Holt County, NE",NE,50434,54055,50370,55965,54474
"Hooker County, NE",NE,42989,47526,47327,46220,50093
"Howard County, NE",NE,52464,54803,54671,52292,56881
"Jefferson County, NE",NE,46812,47750,48930,47075,56740
"Johnson County, NE",NE,47382,47592,48518,52401,54567
"Kearney County, NE",NE,50645,66321,62499,64456,64461
"Keith County, NE",NE,46888,46431,47598,52086,51478
"Keya Paha County, NE",NE,45886,47282,45688,48429,46010
"Kimball County, NE",NE,45769,45091,46571,46986,52284
"Knox County, NE",NE,45566,46647,46163,47906,53676
"Lancaster County, NE",NE,54422,58873,59681,58618,61383
"Lincoln County, NE",NE,53856,57445,55934,56803,60924
"Logan County, NE",NE,51098,50979,48579,55531,53108
"Loup County, NE",NE,52862,47918,46875,47797,51559
"McPherson County, NE",NE,57175,49265,49875,53207,52033
"Madison County, NE",NE,51330,49625,51184,55226,58275
"Merrick County, NE",NE,51219,52112,59984,56493,53411
"Morrill County, NE",NE,49082,44398,44062,49151,49982
"Nance County, NE",NE,46958,47579,48972,47279,55853
"Nemaha County, NE",NE,52034,49242,52229,52069,55343
"Nuckolls County, NE",NE,41956,41840,43712,46954,48624
"Otoe County, NE",NE,53015,55030,60469,60734,66293
"Pawnee County, NE",NE,43646,42389,42962,45487,47006
"Perkins County, NE",NE,58066,59732,55033,57251,63443
"Phelps County, NE",NE,55566,57432,60695,59003,61420
"Pierce County, NE",NE,56744,55586,58375,57367,67465
"Platte County, NE",NE,58554,59288,57693,63656,62804
"Polk County, NE",NE,61965,53881,61422,59815,66462
"Red Willow County, NE",NE,49308,48783,49447,49034,50260
"Richardson County, NE",NE,44648,45256,48087,47573,50207
"Rock County, NE",NE,51447,48802,48373,48260,53905
"Saline County, NE",NE,55850,51222,53662,54569,59937
"Sarpy County, NE",NE,73856,74374,80842,79358,84016
"Saunders County, NE",NE,61025,66330,63849,67897,71086
"Scotts Bluff County, NE",NE,43428,46641,48662,50247,50263
"Seward County, NE",NE,62455,66102,68762,71024,72291
"Sheridan County, NE",NE,47005,41128,41247,43819,46159
"Sherman County, NE",NE,42643,43657,55432,47499,48735
"Sioux County, NE",NE,55606,48891,50910,50861,47983
"Stanton County, NE",NE,56423,57857,58295,66228,62045
"Thayer County, NE",NE,48947,48668,51757,51299,52439
"Thomas County, NE",NE,48754,49449,46927,48275,51401
"Thurston County, NE",NE,42290,43737,45328,45405,48891
"Valley County, NE",NE,49929,43405,44907,48604,47981
"Washington County, NE",NE,68435,70727,72385,77838,75197
"Wayne County, NE",NE,54503,52764,54548,55970,57655
"Webster County, NE",NE,40444,41616,45768,45058,49518
"Wheeler County, NE",NE,55106,46838,55906,53369,50207
"York County, NE",NE,59500,53960,55950,61478,59749
"Churchill County, NV",NV,54134,50292,53302,58429,56335
"Clark County, NV",NV,51624,54455,57217,57155,62131
"Douglas County, NV",NV,63620,61988,66092,70495,76296
"Elko County, NV",NV,76518,70242,76439,79134,83287
"Esmeralda County, NV",NV,49057,48693,47053,50179,50675
"Eureka County, NV",NV,65459,67590,67976,70036,71541
"Humboldt County, NV",NV,68060,68999,68753,72873,73106
"Lander County, NV",NV,76713,71814,75943,79278,81239
"Lincoln County, NV",NV,51788,49874,54844,55504,58782
"Lyon County, NV",NV,51934,51344,54588,59732,59406
"Mineral County, NV",NV,42164,41892,45589,44438,43771
"Nye County, NV",NV,43819,48001,48513,47031,48490
"Pershing County, NV",NV,54416,56984,57885,42522,58562
"Storey County, NV",NV,61594,60066,61751,68236,88003
"Washoe County, NV",NV,56457,58253,61506,63636,71733
"White Pine County, NV",NV,54975,54832,53765,58942,60086
"Carson City, NV",NV,47015,52253,55228,56382,58126
"Belknap County, NH",NH,63377,57779,63902,64777,68752
"Carroll County, NH",NH,54351,56836,58005,59413,64495
"Cheshire County, NH",NH,60339,57286,60844,60251,65326
"Coos County, NH",NH,40286,45127,43836,44259,49156
"Grafton County, NH",NH,57827,60335,63322,65163,62468
"Hillsborough County, NH",NH,73474,75997,78171,78714,82862
"Merrimack County, NH",NH,68148,69320,70408,74351,75800
"Rockingham County, NH",NH,87103,82016,89049,93645,91416
"Strafford County, NH",NH,60931,69467,68864,69919,71486
"Sullivan County, NH",NH,53804,58021,59493,60034,63518
"Atlantic County, NJ",NJ,53296,55672,59309,60826,62678
"Bergen County, NJ",NJ,88512,93205,93805,100181,107971
"Burlington County, NJ",NJ,74844,80081,86777,84470,88443
"Camden County, NJ",NJ,63589,65838,65817,67135,73168
"Cape May County, NJ",NJ,55632,59181,64450,62175,66565
"Cumberland County, NJ",NJ,50259,48867,51786,51790,54179
"Essex County, NJ",NJ,52206,54879,60284,62875,64522
"Gloucester County, NJ",NJ,76780,79332,84639,81315,87996
"Hudson County, NJ",NJ,60053,63157,65673,73337,77738
"Hunterdon County, NJ",NJ,102797,113336,113083,112335,117275
"Mercer County, NJ",NJ,72172,76988,78161,79979,79475
"Middlesex County, NJ",NJ,78249,82183,85187,87666,92770
"Monmouth County, NJ",NJ,86722,89968,97627,99223,102579
"Morris County, NJ",NJ,101754,107019,114269,112396,116328
"Ocean County, NJ",NJ,63478,62276,70493,68483,75627
"Passaic County, NJ",NJ,55723,61517,63127,71959,76039
"Salem County, NJ",NJ,63988,56071,61322,64524,68146
"Somerset County, NJ",NJ,99059,104668,111838,119731,112722
"Sussex County, NJ",NJ,84431,87549,89744,92284,100281
"Union County, NJ",NJ,70581,71801,76830,80737,79953
"Warren County, NJ",NJ,71672,74834,79633,77571,83998
"Bernalillo County, NM",NM,47870,50599,51091,51372,56148
"Catron County, NM",NM,36570,34868,34458,34777,37190
"Chaves County, NM",NM,39265,40573,43341,43527,43687
"Cibola County, NM",NM,35580,36651,37753,38097,40436
"Colfax County, NM",NM,37269,38426,39372,41592,42754
"Curry County, NM",NM,41879,43450,43590,47202,45623
"DeBaca County, NM",NM,33427,32820,33095,35087,34746
"Dona Ana County, NM",NM,39421,38287,38562,38409,43618
"Eddy County, NM",NM,60407,57287,52932,58320,63671
"Grant County, NM",NM,39792,39750,40684,38341,43175
"Guadalupe County, NM",NM,31710,31547,31915,29515,36554
"Harding County, NM",NM,39561,37027,35441,37544,38162
"Hidalgo County, NM",NM,34336,33605,33557,39882,37322
"Lea County, NM",NM,54686,52213,52358,51656,63012
"Lincoln County, NM",NM,40297,41214,47141,45095,47254
"Los Alamos County, NM",NM,107126,114670,118380,124947,122001
"Luna County, NM",NM,27151,28227,30621,30570,32544
"McKinley County, NM",NM,29040,31505,31746,33976,36404
"Mora County, NM",NM,31816,34602,33671,34491,36968
"Otero County, NM",NM,38381,41995,43338,42701,43135
"Quay County, NM",NM,29047,28996,29600,33085,34596
"Rio Arriba County, NM",NM,37319,37174,36977,41511,44579
"Roosevelt County, NM",NM,38053,37122,37767,41700,44928
"Sandoval County, NM",NM,62833,58621,56937,57036,71118
"San Juan County, NM",NM,49173,50847,46977,46578,46201
"San Miguel County, NM",NM,32303,31734,33205,35292,36986
"Santa Fe County, NM",NM,55247,57469,58639,60187,61791
"Sierra County, NM",NM,29432,30467,30356,31741,33661
"Socorro County, NM",NM,33673,33239,34880,33989,39582
"Taos County, NM",NM,37092,34075,34980,38405,43032
"Torrance County, NM",NM,35950,36347,36886,39123,39532
"Union County, NM",NM,36715,37787,38627,40426,38221
"Valencia County, NM",NM,42395,43819,46155,46365,54867
"Albany County, NY",NY,57312,61634,65659,64536,69408
"Allegany County, NY",NY,44331,45226,46491,46262,49411
"Bronx County, NY",NY,35102,37355,37377,38566,41470
"Broome County, NY",NY,46067,49927,47910,50928,52179
"Cattaraugus County, NY",NY,40933,46224,47875,48017,50783
"Cayuga County, NY",NY,51925,53437,55460,52945,58055
"Chautauqua County, NY",NY,43973,42664,45840,45689,50143
"Chemung County, NY",NY,51285,50722,50562,52565,58400
"Chenango County, NY",NY,49082,45193,48161,50312,51894
"Clinton County, NY",NY,46747,53392,56436,55517,59069
"Columbia County, NY",NY,58335,57579,60629,64916,71563
"Cortland County, NY",NY,49894,51810,52038,51751,55143
"Delaware County, NY",NY,42907,45381,45385,47382,51038
"Dutchess County, NY",NY,71348,73680,76955,79604,84564
"Erie County, NY",NY,52176,54175,55581,56375,60620
"Essex County, NY",NY,52282,50506,52741,54376,55091
"Franklin County, NY",NY,45682,49062,50187,48722,48943
"Fulton County, NY",NY,46543,45982,46984,51388,50061
"Genesee County, NY",NY,53771,54211,55522,58925,62570
"Greene County, NY",NY,48144,49860,54635,54514,54746
"Hamilton County, NY",NY,47997,52134,51520,59020,60148
"Herkimer County, NY",NY,49504,49633,46733,53168,55778
"Jefferson County, NY",NY,50179,46206,47436,52798,53829
"Kings County, NY",NY,51026,54793,56548,60862,66501
"Lewis County, NY",NY,50846,48314,51857,52660,56599
"Livingston County, NY",NY,53945,54256,56407,61027,60268
"Madison County, NY",NY,58094,57703,56477,59114,61713
"Monroe County, NY",NY,54204,54684,57660,60240,62159
"Montgomery County, NY",NY,44414,42193,46601,43799,52092
"Nassau County, NY",NY,101568,105486,107465,115301,117767
"New York County, NY",NY,75136,77214,84133,84610,93007
"Niagara County, NY",NY,48517,50328,54317,55013,56371
"Oneida County, NY",NY,47390,52404,53234,54096,56516
"Onondaga County, NY",NY,57114,56853,57641,59786,61597
"Ontario County, NY",NY,58085,58320,65271,62930,66754
"Orange County, NY",NY,71162,71963,77606,75048,83188
"Orleans County, NY",NY,48126,50750,48799,52658,53115
"Oswego County, NY",NY,49391,52621,52732,53745,57640
"Otsego County, NY",NY,47942,50034,51561,54321,52414
"Putnam County, NY",NY,90497,96267,98765,100887,105600
"Queens County, NY",NY,60241,61844,64046,68432,72975
"Rensselaer County, NY",NY,60117,63174,63457,71084,70688
"Richmond County, NY",NY,71058,75524,78466,79719,86624
"Rockland County, NY",NY,84249,84358,87873,88960,99831
"St. Lawrence County, NY",NY,42811,50897,49607,49356,51742
"Saratoga County, NY",NY,75029,75904,82732,83210,89071
"Schenectady County, NY",NY,59432,57923,61841,63297,64960
"Schoharie County, NY",NY,50588,50244,51007,57757,58927
"Schuyler County, NY",NY,49664,48109,48782,50190,52215
"Seneca County, NY",NY,49813,48998,54563,54184,51064
"Steuben County, NY",NY,47352,50190,50807,54862,53167
"Suffolk County, NY",NY,87634,92310,94108,100075,105241
"Sullivan County, NY",NY,49161,49016,52504,51985,58851
"Tioga County, NY",NY,57541,55643,57190,60309,60699
"Tompkins County, NY",NY,55839,55778,56539,57383,59176
"Ulster County, NY",NY,58328,61421,62531,63073,64090
"Warren County, NY",NY,54492,55769,58859,56694,63240
"Washington County, NY",NY,51188,51052,53609,55913,56897
"Wayne County, NY",NY,51273,58521,52709,61118,61989
"Westchester County, NY",NY,85688,89380,90483,94521,101741
"Wyoming County, NY",NY,52796,56089,53986,57709,58214
"Yates County, NY",NY,46392,48820,49198,51089,60612
"Alamance County, NC",NC,41566,46060,47914,50480,57963
"Alexander County, NC",NC,41092,46385,48577,49138,54960
"Alleghany County, NC",NC,36113,35965,38994,39735,41420
"Anson County, NC",NC,35307,35809,41266,38023,40826
"Ashe County, NC",NC,35238,39709,40611,41864,41542
"Avery County, NC",NC,37120,38098,40682,41701,45823
"Beaufort County, NC",NC,41725,41431,43497,46411,49410
"Bertie County, NC",NC,31967,33809,33022,35433,37899
"Bladen County, NC",NC,33882,33621,38059,36976,42260
"Brunswick County, NC",NC,48831,51457,56227,60163,63712
"Buncombe County, NC",NC,45094,50538,50271,53960,55448
"Burke County, NC",NC,42711,41383,42179,44946,47890
"Cabarrus County, NC",NC,57881,63059,62167,69297,72071
"Caldwell County, NC",NC,39636,39166,44798,43328,48512
"Camden County, NC",NC,62000,65415,64086,65955,69610
"Carteret County, NC",NC,50837,51557,53192,55052,60058
"Caswell County, NC",NC,40504,40570,44998,45517,51240
"Catawba County, NC",NC,41745,49475,53348,53738,53688
"Chatham County, NC",NC,58860,63303,63373,73703,70258
"Cherokee County, NC",NC,38284,37237,38283,41262,42764
"Chowan County, NC",NC,40794,41151,43182,42618,47126
"Clay County, NC",NC,38980,37581,43684,42878,47116
"Cleveland County, NC",NC,40237,38654,39911,42728,46012
"Columbus County, NC",NC,34478,35290,37639,36862,39531
"Craven County, NC",NC,47805,49524,51390,50748,53372
"Cumberland County, NC",NC,42380,45286,44065,46779,46599
"Currituck County, NC",NC,66426,57570,62397,64426,70699
"Dare County, NC",NC,53585,56371,57316,64768,63033
"Davidson County, NC",NC,46400,46263,47595,47758,53924
"Davie County, NC",NC,52525,54189,58147,60801,63828
"Duplin County, NC",NC,38397,38771,39470,42725,44929
"Durham County, NC",NC,53875,54255,60045,59329,65541
"Edgecombe County, NC",NC,32529,34612,35130,38818,40784
"Forsyth County, NC",NC,47346,48987,50803,50112,53054
"Franklin County, NC",NC,48009,49484,53076,57710,57371
"Gaston County, NC",NC,45031,48874,50016,52798,56542
"Gates County, NC",NC,46387,45755,50164,51746,54204
"Graham County, NC",NC,33827,35763,37748,39502,45813
"Granville County, NC",NC,50314,50414,53142,58956,54300
"Greene County, NC",NC,35060,39738,40131,43591,44648
"Guilford County, NC",NC,48283,47754,52284,52166,55820
"Halifax County, NC",NC,31952,33044,34027,36760,38727
"Harnett County, NC",NC,48301,51106,51406,51225,55619
"Haywood County, NC",NC,43573,45290,47872,47183,51612
"Henderson County, NC",NC,47280,53638,51314,54012,61651
"Hertford County, NC",NC,34453,35424,38786,38216,42374
"Hoke County, NC",NC,42819,46004,50777,47892,48420
"Hyde County, NC",NC,37074,37881,41214,40653,43112
"Iredell County, NC",NC,55848,56325,56559,60044,68308
"Jackson County, NC",NC,41537,44004,46113,44502,47759
"Johnston County, NC",NC,52681,55174,58647,60296,62835
"Jones County, NC",NC,39688,38873,41523,43302,46275
"Lee County, NC",NC,44294,46723,53297,48984,53114
"Lenoir County, NC",NC,37085,39341,39411,40433,39947
"Lincoln County, NC",NC,49343,50714,57042,62963,70479
"McDowell County, NC",NC,37430,41443,42853,43972,46370
"Macon County, NC",NC,41395,41140,42456,46426,46279
"Madison County, NC",NC,37899,40765,41891,44693,50062
"Martin County, NC",NC,36543,35561,37225,43569,39413
"Mecklenburg County, NC",NC,57029,63197,65750,64509,69455
"Mitchell County, NC",NC,39955,42530,40589,43967,47675
"Montgomery County, NC",NC,39096,40371,43695,47757,46497
"Moore County, NC",NC,52139,54545,62781,59471,63942
"Nash County, NC",NC,43450,47403,47597,50122,50902
"New Hanover County, NC",NC,52456,51373,53692,53419,57252
"Northampton County, NC",NC,33301,35711,36190,37233,39777
"Onslow County, NC",NC,46144,47163,49634,50531,50645
"Orange County, NC",NC,61570,65299,69422,71920,74314
"Pamlico County, NC",NC,41004,43927,48410,46447,52522
"Pasquotank County, NC",NC,42171,43687,46709,46355,51245
"Pender County, NC",NC,49390,50437,52187,54900,60405
"Perquimans County, NC",NC,42337,45052,45011,48337,50804
"Person County, NC",NC,43917,47974,50269,50149,54553
"Pitt County, NC",NC,41909,45918,46229,43303,52961
"Polk County, NC",NC,45672,47185,45587,50467,53405
