County,Average Annual Count,State,Cancer,Race/Ethnicity,Sex,Age,"Age-Adjusted Incidence Rate cases per 100,000"
Garland County  6,415,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,579.0 
Prairie County  6,36,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.8 
Greene County  6,142,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,578.0 
Van Buren County  6,81,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.3 
Ashley County  6,79,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,575.2 
Cleburne County  6,122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,571.0 
Cross County  6,57,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,570.1 
White County  6,243,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,569.5 
Faulkner County  6,309,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,567.6 
Union County  6,136,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,566.8 
Mississippi County  6,124,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,565.7 
Independence County  6,122,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,554.0 
Dallas County  6,29,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,553.5 
Craighead County  6,268,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.4 
Saline County  6,387,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,551.2 
Jackson County  6,56,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.6 
Bradley County  6,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,545.0 
Phillips County  6,61,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,542.5 
Pike County  6,39,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,539.0 
Sharp County  6,76,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,536.9 
Polk County  6,78,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,531.7 
Perry County  6,38,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.1 
Hot Spring County  6,115,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,530.0 
Pope County  6,181,Arkansas,All Cancer Sites,All Races (includes Hispanic),Males,All Ages,526.9 
